Date,Open,High,Low,Close,Volume
03/12/21,0.330407,0.432618,0.297074,0.397741,13850000000
03/11/21,0.474719,0.477866,0.217528,0.330353,19280000000
03/10/21,0.486444,0.512529,0.468941,0.474714,4750000000
03/09/21,0.513062,0.514821,0.457331,0.486366,6840000000
03/08/21,0.507796,0.547205,0.449635,0.513023,8260000000
03/05/21,0.559594,0.563262,0.493248,0.507448,7920000000
03/04/21,0.486983,0.589075,0.464572,0.559581,16220000000
03/03/21,0.389257,0.514831,0.353838,0.48691,16690000000
03/02/21,0.493226,0.519039,0.385839,0.389159,8600000000
03/01/21,0.449956,0.544636,0.44294,0.493231,12460000000
02/26/2021,0.568689,0.568689,0.422392,0.449977,15360000000
02/25/2021,0.63533,0.697487,0.423602,0.568682,37250000000
02/24/2021,0.686914,0.738255,0.605162,0.634394,16920000000
02/23/2021,0.579819,0.729865,0.519357,0.68688,18810000000
02/22/2021,0.653501,0.663006,0.541526,0.579839,12970000000
02/19/2021,0.559521,0.693839,0.536232,0.655355,28030000000
02/18/2021,0.438349,0.594039,0.398416,0.559005,31900000000
02/17/2021,0.372467,0.443181,0.372467,0.438244,9970000000
02/16/2021,0.390686,0.399246,0.363912,0.372404,8200000000
02/12/21,0.336657,0.396647,0.327317,0.390642,11340000000
02/11/21,0.303226,0.338327,0.300761,0.336635,6480000000
02/10/21,0.323591,0.323797,0.295612,0.30324,6740000000
02/09/21,0.270696,0.343505,0.255591,0.323582,21220000000
02/08/21,0.270118,0.278347,0.264018,0.270668,5380000000
02/05/21,0.251192,0.279737,0.24739,0.269805,7900000000
02/04/21,0.269932,0.288841,0.224455,0.251103,10020000000
02/03/21,0.24879,0.289165,0.229214,0.270017,17250000000
02/02/21,0.2608,0.269065,0.166312,0.248731,27910000000
02/01/21,0.305718,0.308332,0.256061,0.26081,17340000000
01/29/2021,0.317922,0.346599,0.297108,0.305633,15480000000
01/28/2021,0.407451,0.422212,0.271758,0.317696,33270000000
01/27/2021,0.322197,0.433969,0.309128,0.407335,31680000000
01/26/2021,0.282723,0.349748,0.239707,0.322037,29110000000
01/25/2021,0.365389,0.378924,0.23201,0.281909,39280000000
01/22/2021,0.182628,0.449889,0.180132,0.365551,83390000000
01/21/2021,0.121275,0.189446,0.120291,0.182784,37960000000
01/20/2021,0.09425,0.144229,0.092535,0.121349,57290000000
01/19/2021,0.070709,0.095671,0.070705,0.093763,23190000000
01/15/2021,0.074205,0.075337,0.068792,0.070719,8900000000
01/14/2021,0.06368,0.079712,0.063402,0.07415,24470000000
01/13/2021,0.061605,0.065016,0.060969,0.063688,5300000000
01/12/21,0.061754,0.063832,0.060536,0.061582,4130000000
01/11/21,0.05873,0.062168,0.058705,0.061757,3860000000
01/08/21,0.064281,0.067151,0.057211,0.058728,9590000000
01/07/21,0.059921,0.064989,0.058068,0.064283,9450000000
01/06/21,0.057393,0.060593,0.056318,0.059948,5220000000
01/05/21,0.055542,0.058122,0.055121,0.057401,3280000000
01/04/21,0.057567,0.05944,0.055553,0.055554,4080000000
12/31/2020,0.062093,0.062794,0.057285,0.05757,8100000000
12/30/2020,0.053742,0.070722,0.053723,0.062113,26140000000
12/29/2020,0.054026,0.054484,0.051896,0.053744,2260000000
12/28/2020,0.054122,0.055567,0.053738,0.054027,2810000000
12/24/2020,0.053641,0.054673,0.05323,0.054102,1920000000
12/23/2020,0.054436,0.054859,0.053046,0.053637,1420000000
12/22/2020,0.053976,0.055388,0.053456,0.054426,2390000000
12/21/2020,0.051249,0.053988,0.051241,0.053973,2110000000
12/18/2020,0.051501,0.05241,0.04965,0.051263,3470000000
12/17/2020,0.053431,0.056659,0.050887,0.05151,3000000000
12/16/2020,0.054913,0.056043,0.052797,0.053437,2810000000
12/15/2020,0.057475,0.057923,0.054801,0.054929,2420000000
12/14/2020,0.058829,0.059509,0.056763,0.057471,2570000000
12/11/20,0.058263,0.060603,0.058042,0.058827,3430000000
12/10/20,0.05729,0.059825,0.056462,0.05827,3120000000
12/09/20,0.057878,0.05915,0.056997,0.057294,2560000000
12/08/20,0.058606,0.058881,0.056567,0.05788,2390000000
12/07/20,0.056968,0.05905,0.055365,0.058611,3910000000
12/04/20,0.058429,0.059736,0.055064,0.056965,4770000000
12/03/20,0.062676,0.06351,0.058431,0.058431,9160000000
12/02/20,0.055238,0.062739,0.054694,0.062694,6370000000
12/01/20,0.055896,0.056965,0.054298,0.055261,3660000000
11/30/2020,0.055877,0.056895,0.054398,0.055893,3390000000
11/27/2020,0.0579,0.058642,0.054554,0.0559,4710000000
11/25/2020,0.062851,0.062851,0.056009,0.057978,8670000000
11/24/2020,0.051888,0.062848,0.051622,0.062848,13640000000
11/23/2020,0.050924,0.052248,0.050548,0.051881,3030000000
11/20/2020,0.049523,0.052453,0.049256,0.050935,5280000000
11/19/2020,0.049925,0.050877,0.048026,0.049584,3760000000
11/18/2020,0.050469,0.051118,0.047762,0.049927,3650000000
11/17/2020,0.050343,0.052153,0.050011,0.050474,3640000000
11/16/2020,0.050582,0.052423,0.049198,0.050279,4670000000
11/13/2020,0.048134,0.05229,0.047929,0.050576,5220000000
11/12/20,0.050076,0.050176,0.044811,0.048129,4850000000
11/11/20,0.050466,0.051993,0.049173,0.050076,4450000000
11/10/20,0.049909,0.052537,0.048537,0.050463,6160000000
11/09/20,0.056663,0.05803,0.049862,0.050045,9270000000
11/06/20,0.047663,0.0604,0.046065,0.056653,19490000000
11/05/20,0.053537,0.053774,0.041782,0.047673,11250000000
11/04/20,0.056136,0.060737,0.046516,0.05353,15500000000
11/03/20,0.054196,0.059292,0.05335,0.055881,10290000000
11/02/20,0.055044,0.060455,0.051115,0.054135,14030000000
10/30/2020,0.059117,0.059628,0.054075,0.055036,11880000000
10/29/2020,0.049469,0.063482,0.04897,0.059134,21380000000
10/28/2020,0.053513,0.055054,0.04796,0.049467,10520000000
10/27/2020,0.056427,0.05981,0.050815,0.053513,11600000000
10/26/2020,0.062639,0.064003,0.047653,0.056442,19300000000
10/23/2020,0.066244,0.066392,0.055785,0.062639,13800000000
10/22/2020,0.069815,0.071703,0.065915,0.066249,7320000000
10/21/2020,0.06978,0.07272,0.061285,0.069791,13240000000
10/20/2020,0.07258,0.074843,0.068152,0.069611,11230000000
10/19/2020,0.070015,0.081396,0.067081,0.072584,22670000000
10/16/2020,0.078782,0.083567,0.064053,0.070012,22360000000
10/15/2020,0.077936,0.085037,0.063839,0.078793,38110000000
10/14/2020,0.057506,0.086356,0.053464,0.078508,54230000000
10/13/2020,0.046788,0.058646,0.044505,0.057465,26400000000
10/12/20,0.052933,0.054033,0.043289,0.046783,27110000000
10/09/20,0.03734,0.059081,0.035919,0.052944,72240000000
10/08/20,0.031297,0.039651,0.031031,0.037345,20280000000
10/07/20,0.034784,0.035142,0.029054,0.031296,19700000000
10/06/20,0.036826,0.0437,0.033096,0.034705,39340000000
10/05/20,0.028199,0.048998,0.026909,0.036841,65010000000
10/02/20,0.045859,0.050499,0.022269,0.028197,77240000000
10/01/20,0.036085,0.07797,0.03234,0.046597,146800000000
09/30/2020,0.007415,0.037902,0.007415,0.036265,12410000000
09/29/2020,0.008244,0.008245,0.007268,0.007441,2010000000
09/28/2020,0.008349,0.008454,0.008014,0.00824,1470000000
09/25/2020,0.008714,0.008899,0.008259,0.008353,2070000000
09/24/2020,0.008571,0.008955,0.008504,0.008714,1840000000
